case_id,payload_id,payload_text,rank_length,true_key,fiber_size,candidate_keys,true_key_in_candidates,collisions_verified_without_cache,keyset_size,f_evaluations,search_elapsed_seconds,target_w
0,0,Switzerland is expensive.,4,Write about baking bread.,1,"[""Write about baking bread.""]",True,True,31,31,98.79548505599996,"[19671, 1, 1047, 1]"
1,1,The meeting starts after lunch.,6,Describe a quiet mountain village.,1,"[""Describe a quiet mountain village.""]",True,True,31,31,135.51734071900046,"[56699, 391, 35, 40, 3, 16]"
2,2,The current policy has failed.,6,Talk about animals in a forest.,1,"[""Talk about animals in a forest.""]",True,True,31,31,135.71765975200015,"[118414, 70, 112, 26, 11, 10]"
3,3,A quiet river crossed the valley.,7,Explain a baseball practice.,1,"[""Explain a baseball practice.""]",True,True,31,31,151.6513344039995,"[104032, 2975, 12, 1047, 1, 795, 1]"
4,4,The lab notebook was hidden in the cabinet.,9,Describe ancient Roman roads.,1,"[""Describe ancient Roman roads.""]",True,True,31,31,189.09563645099934,"[29436, 1315, 77, 6665, 497, 301, 24, 1066, 2]"
5,5,A small bird landed near the window.,8,Write a neutral product description.,1,"[""Write a neutral product description.""]",True,True,31,31,170.37311368100018,"[14463, 14, 8061, 55, 6, 1, 797, 3]"
